;;;;;;;;;;;;x,,,,,,,
jominian_attitude_desc;安东莞-亨利??约米尼早期在法国服役，随后为俄国效力，他是拿破仑战争体系最负盛名的作者之一。他认为战争是一门科学而非艺术，为了减少伤亡应该将战斗力维持在最小的水平。为俄军服务时，约米尼帮助一起建立了总参军事学院，并致力于完善一套更科学的作战方法;;;;;;;;;;;;x,,,,
turbine_driven_trawlers;涡轮驱动拖网渔船;;;;;;;;;;;;x,,,,,,,
turbine_driven_trawlers_desc;当拖网渔船都装上了新型涡轮，还需要什么渔民呢？;;;;;;;;;;;;x,,,,,,
Power_transformer;变压器;;;;;;;;;;;;x,,,,,,,
Power_transformer_desc;变压器和特斯拉的多相和单相电动机对与给照明和机械提供联合交流配电的发电系统来说，是必不可少的。拥有特斯拉的专利所有权对威斯汀豪斯电气公司而言是核心竞争力，使得他们能为照明和电力提供稳定的交流电。;;;;;;;;;;;;x,,,,,
ship_cannon_building_desc;随着海军装备越发强大，制造的方法也变得多种多样;;;;;;;;;;;;x,,,,,,
declaration_of_the_rights_of_man;《人权宣言》;;;;;;;;;;;;x,,,,,,,
declaration_of_the_rights_of_man_desc;《人权宣言》是法国大革命的一个纲领性文件，它确定了个人和集体权利在任何领域的普遍性和平等性。;;;;;;;;;;;;x,,,,,
caste_privileges;种姓特权;;;;;;;;;;;;x,,,,,,,
caste_privileges_desc;英帝国主义在印度早期的目标是以心目中的形象创造一个本土精英阶层。他们成功了，在殖民地里富有的印度人形成了一个新的种姓阶层。;;;;;;;;;;;;x,,,,,,
sati_abolished;废除殉夫自焚;;;;;;;;;;;;x,,,,,,,
sati_abolished_desc;沙提葬礼，这种寡妇在丈夫的葬礼上自行殉葬的仪式已被废止，它在印度的一些地方早已不受欢迎;;;;;;;;;;;;x,,,,,
pig_fat_cartridges;涂猪油的子弹包;;;;;;;;;;;;x,,,,,,,
pig_fat_cartridges_desc;用猪油涂抹火药弹筒的发明对印度士兵来说是一种极大的侮辱，也是随后印度与殖民者裂痕加深的原因;;;;;;;;;;;;x,,,,,,
irish_potato_blight;马铃薯歉收;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,
irish_potato_blight_desc;我国饥荒蔓延，人们大批死去;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
irish_republicans;爱尔兰共和党人;;;;;;;;;;;;x,,,,,,,
irish_republicans_desc;打倒君主制！爱尔兰自由邦才是唯一的出路！;;;;;;;;;;;;x,,,,,,,
irish_unionists;爱尔兰统一党;;;;;;;;;;;;x,,,,,,,
irish_unionists_desc;爱尔兰现在和未来都是大英帝国的一部分！我们不会放弃君主制！;;;;;;;;;;;;x,,,,,,
adam_smith;亚当·斯密;;;;;;;;;;;;x,,,,,,,
adam_smith_desc;亚当·斯密是苏格兰人，他是政治经济学的启蒙者。他是《道德情操论》和《国民财富的性质和原因的研究》的作者。他指出资本主义的核心即是人们追求自身利益，同时也会创造更多的利益。他还指出市场经济有着一只“看不见的手”来自发调控，并指责政府无需全方面干涉经济，只应在一小部分实行宏观调控;;;;;;;;;;;;x,,,,,
jean_baptiste_say;让·巴蒂斯特·萨伊;;;;;;;;;;;;x,,,,,,,
jean_baptiste_say_desc;让-巴蒂斯特??萨伊是一名活跃于政治经济学领域的法国学者。他与亚当??斯密生于同一时期，在经济竞争和自由贸易上有着一定建树。他撰写了《政治经济学概论》，并于1803年发表。“供给能够创造其本身的需求”这一萨伊定律便是从他的论文中提炼出来的;;;;;;;;;;;;x,,,
david_ricardo;大卫·李嘉图;;;;;;;;;;;;x,,,,,,,
david_ricardo_desc;大卫·李嘉图是一名追随亚当·斯密理论的英国政治经济学家。他于1817年发表了自己的代表作《政治经济学及赋税原理》。作为自由贸易的倡导者，他对的古典经济学的主要贡献在于他的比较优势学说，认为各国如果能更为合理地分配它的资源，并将其用于贸易，就都能得到更多的利益;;;;;;;;;;;;x,,,,
alexander_bain;亚历山大·贝恩;;;;;;;;;;;;x,,,,,,,
alexander_bain_desc;约翰·斯图亚特·穆勒的朋友亚历山大??贝恩将心理学与联想结合起来，建立了联想的连续性、相似性和频率性法则。他因于1855年和1859年撰写了两本最早的心理学教材而闻名，这些教材后来为实验心理学家如威廉??詹姆斯等所使用。他提出斯宾塞-贝恩定律讨论行为的可能性，最终诞生了行为主义学派;;;;;;;;;;;;x,,
thomas_brown;托马斯·布朗;;;;;;;;;;;;x,,,,,,,
thomas_brown_desc;托马斯·布朗是一名苏格兰联想主义心理学家，他提出了另一些法则，完善了联想主义心理学。他在原有学说的基础上将联想定义为头脑的一种自主行为过程。这种过程会受到其他联想，个人情绪及性格，身体状况，以及周围环境的影响;;;;;;;;;;;;x,,,
francis_galton;弗朗西斯·高尔顿;;;;;;;;;;;;x,,,,,,,
francis_galton_desc;弗朗西斯·高尔顿爵士是一名英国贵族，他广泛地研究如何运用知觉和运动测试来测量一个人的精神能力。在他于1869年的著作《遗传的天才》中提出，天才少年会自发成长为一名天才的观点。他研究了上千篇相关论文，并于1874年发表的文章中阐述了智力主要依靠遗传的特征，虽然环境在智力发展中也是不容忽视的。他首次利用研究同卵和异卵双胞胎来估量环境对于环境本身的影响，并于1888年发表了基于相关函数、散点图、线性回归等测量方法的心理测量学说;;;;;;;;;;;;x,,
alfred_binet;阿尔弗雷德·比奈;;;;;;;;;;;;x,,,,,,,
alfred_binet_desc;阿尔弗雷德·比奈是一名法国心理学家，也是运用标准智力测验来评价个体差异的先驱者。1899年，法国政府委托比奈和他的学生西奥多??西蒙进行一项挑选天才儿童的测验。比西量表将智力划分为几个等级，并通过许多问题来测试。那些体现更高能力的问题往往会有更多被老师评价很高的学生来回答。比奈相信智力是有遗传性的，不过也认为教育能够提升智力水平。他通过每个人的测试成绩，也在量表中设立一项心理水平分数。;;;;;;;;;;;;x,,,,,,
charles_spearman;查尔斯·斯皮尔曼;;;;;;;;;;;;x,,,,,,,
charles_spearman_desc;查尔斯·斯皮尔曼是一名英国心理学家和数学家。他认为高尔顿的测量方法对于测试智力来说过于简单了。他更倾向于比奈的量表，但反对用一个总数来表现智力的各个方面。他建立起一套分析测量方法用来反映测试者在各个方面的表现情况。他将智力因素分为两种，G因素即一般因素来解释智力与遗传的相关性，S因素即特殊因素来解释特例情况。G因素并不是一个常数，但斯皮尔曼还是更相信遗传在智力方面的影响;;;;;;;;;;;;x,,,,
eugenics;优生学;;;;;;;;;;;;x,,,,,,,
eugenics_desc;作为持有物竞天择的进化论观点和对于智力研究的结果，优生学关注的是人们在社会生活中生理和心理的素质，以及对人类弱点的应对。积极优生学鼓励增加家庭活动，提升社会福利，重视教育水平，从而提升出生人口的素质。消极优生学则主张根除人性中的不良品质，从而导致了绝育，甚至于种族屠杀的出现;;;;;;;;;;;;x,,,
wilhelm_wundt;威廉·冯特;;;;;;;;;;;;x,,,,,,,
wilhelm_wundt_desc;威廉·冯特是一名德国心理学家，他于1879年在莱比锡大学建立了世界上第一座心理实验室。冯特发表自己的第一本教材并将心理学定义为一门科学。他的“反应时”实验证明了复杂情况是由许多基本过程结合起来的。这也是认知心理学的学科基础;;;;;;;;;;;;x,,,,,,,
edward_titchener;爱德华·铁钦纳;;;;;;;;;;;;x,,,,,,,
edward_titchener_desc;爱德华·铁钦纳是一名英国心理学家，他曾是冯特在莱比锡大学的学生。他是康奈尔大学心理学系的领军人物，也是构造心理学派，这一把内省主义当作分析意识重要部分的学派的奠基者。他试图将感觉分成四种基本属性的想法受到了质疑，因为不同主体能够在相同的感觉中辨析出不同的属性。;;;;;;;;;;;;x,,,,,,
william_james;威廉·詹姆斯;;;;;;;;;;;;x,,,,,,,
william_james_desc;威廉·詹姆斯是哈佛大学的一名美国心理学家和哲学家。相对于大脑的结构来说，他强调大脑的目的性和功能性。詹姆斯是机能主义心理学派的奠基者。他也用实验和内省来证明观点，但否定了内省的科学性;;;;;;;;;;;;x,,,,,
gs_hall;G·斯坦利·霍尔;;;;;;;;;;;;x,,,,,,,
gs_hall_desc;斯坦利·霍尔是美国心理学会首任会长。他在1887年还创办了《美国心理学》杂志。他的研究主要集中于教育心理学和青春期教育。霍尔采用“狂飙期”这一词汇来形容青春期。他也相信行为的遗传性并资助了优生学项目。他对于儿童成长的观点后来被皮亚杰和维果茨基所驳斥;;;;;;;;;;;;x,,,,,,,
hermann_ebbinghaus;赫尔曼·艾宾浩斯;;;;;;;;;;;;x,,,,,,,
hermann_ebbinghaus_desc;赫尔曼·艾宾浩斯是一名德国心理学家，他在研究记忆方面是领导者。他在上千次反复学习无意义音节的过程中以自己为实验对象，研究出了记忆曲线、遗忘曲线与序列位置效应，反映了人们会记住最先显示的内容这一记忆效应。他的理论认为：第二遍学习时记忆会更为迅速;;;;;;;;;;;;x,,,,
mary_calkins;玛丽·卡尔金斯;;;;;;;;;;;;x,,,,,,,
mary_calkins_desc;玛丽·卡尔金斯是一名美国女教师，也是第一位当选美国心理学会主席的女性。作为詹姆斯的学生，她在1890年完成了哈佛大学的博士课程及论文，却被拒绝授予博士学位。于是她在威尔斯利学院开始了新一轮卓越的对自身心理的研究：整体性是人诸多特征一种……我是我，你是你，这是一种独一无二的感觉……;;;;;;;;;;;;x,,,,
alfred_adler;阿尔弗雷德·阿德勒;;;;;;;;;;;;x,,,,,,,
alfred_adler_desc;阿尔弗雷德·阿德勒是一名奥地利医生和精神病学家。阿德勒从弗洛伊德学派中分立出来，指出下意识动机说更适合于解释目的论而不是本性驱动论。阿德勒认为，人天生就有一种自卑感。人们会努力去克服这一自卑感。他假设了三种结果。一些人被自卑感击垮，自卑情结就产生了。另一些人自欺欺人，掩盖自身感受，优越情结因此产生。还有一些心理健康者则会通过实现自我，完成梦想而建立起自尊;;;;;;;;;;;;x,,,,,,
anna_freud;安娜·弗洛伊德;;;;;;;;;;;;x,,,,,,,
anna_freud_desc;安娜·弗洛伊德是西格蒙德??弗洛伊德的女儿，从1923年开始研究精神分析。她于1925年至1934年期间担任国际精神分析学会的秘书。她因对儿童成长过程中“自我”的重要性研究而成名。她于1936年撰写了《自我与防御机制》，提出了压抑、转移、反向、认同等防卫机制的概念。这些都为了减轻欲望、记忆和观念等可能会威胁自我防御机制的感受而产生的心理过程;;;;;;;;;;;;x,,,
karen_horney;卡伦·霍妮;;;;;;;;;;;;x,,,,,,,
karen_horney_desc;卡伦·霍尼是一名德国心理分析学家。她认为弗洛伊德讨论人的动机时过分强调性和侵略性了。霍尼（1937）认为防卫性才是人最核心最根本的动机。她还认为儿童的成长只是双亲为其消除“基本焦虑”的偶然成果。信任会让孩童获得成功，而不安则会导致失败。不安和不信任也是人性的一部分，就像回避，屈服和统治欲一样;;;;;;;;;;;;x,,,
ivan_pavlov;伊凡·巴甫洛夫;;;;;;;;;;;;x,,,,,,,
ivan_pavlov_desc;伊万·巴甫洛夫是一名俄国生理学家，因其对条件反射的研究而获得诺贝尔奖。在研究狗分泌唾液的过程中，巴甫洛夫观察到狗在收到表示食物即将送来的特定信号后会分泌一种特定的唾液。在他1927年的研究中，巴甫洛夫提出了行为主义中经典条件反射的基本原理。食物对于唾液的分泌来说是无条件刺激。声音信号作为有条件的刺激与唾液分泌联系起来，最终声音信号与唾液分泌形成了新的条件反射。在后续的研究中他还探讨了有关物种灭绝，复苏，一般化和差异化的问题;;;;;;;;;;;;x,,
el_thorndike;爱德华·L·桑代克;;;;;;;;;;;;x,,,,,,,
el_thorndike_desc;爱德华·李·桑代克是一名美国心理学家，他也乐于进行动物实验。他的迷笼实验（1898）十分著名，在这项实验中他把一只饥饿的小猫置于笼中，在笼外摆好食物，并观察它多久才会试着去挣脱。二十到三十次实验后，小猫已能熟练地摆脱牢笼了。桑代克将这种现象抽象起来，指出成功的尝试将会更多地被重复，相反失败的经历则会越来越少。这些观察成果之后被B.F斯金纳用来解释他的操作条件反射理论;;;;;;;;;;;;x,,
jb_watson;约翰·华生;;;;;;;;;;;;x,,,,,,,
jb_watson_desc;约翰·布罗德斯·华生是一名研究巴甫洛夫条件反射的美国心理学家。他最为著名的实验便是让11个月大的小艾伯特把有条件的刺激（对老鼠的恐惧）与无条件的刺激（对捶打声的恐惧）对应联系起来。他的这一研究后来被应用于恐惧症的临床治疗中。因和研究生发生绯闻并结婚，华生被哈佛大学开除了，后来他将自己的研究经验带进了一家广告公司中。现代广告业的发展得好好感谢行为主义心理学和条件反射的学说。;;;;;;;;;;;;x,,,,,,
ec_tolman;爱德华·托尔曼;;;;;;;;;;;;x,,,,,,,
ec_tolman_desc;爱德华·C·托尔曼是另一位在行为主义心理学上作出卓越贡献的美国心理学家。他做了迷宫实验来验证动物的潜伏学习本领。他证明了如果小白鼠在饱食状态下探索过迷宫的话，它就能一次性地逃离出迷宫。托尔曼表明小白鼠会认识到那些有用的刺激信号，而并不需要强化刺激（食物）的指引。这种一次性穿越迷宫的能力展示了学习本领的灵活性。托尔曼的刺激-刺激理论后来遭到了斯金纳的刺激-反应理论的驳斥;;;;;;;;;;;;x,,,,,,
Populism;民粹主义;;;;;;;;;;;;x,,,,,,,
Populism_desc;民粹主义同时被定义为一种意识形态，或者一种（不寻常的）政治哲学，或是一个类型的社会政治思想，认为平民被社会中的精英所压制而寻求并敦促社会和政治制度的变化。;;;;;;;;;;;;x,,,
Establishment;权势集团;;;;;;;;;;;;x,,,,,,,
Establishment_desc;权贵阶级一词指的是执掌国家大权的统治群体或精英团体。它显示出封闭的社会团体互相转移权力的特征（与继承、升职、选举等相对）。;;;;;;;;;;;;x,,,,,,
Clericalism;教权主义;;;;;;;;;;;;x,,,,,,,
Clericalism_desc;教权主义是以教会领袖或被任命的神职人员的意见来处理宗教、政治和文化问题的主义;;;;;;;;;;;;x,,,,,
Anticlericalism;反教权主义;;;;;;;;;;;;x,,,,,,,
Anticlericalism_desc;反教权主义是一场反对宗教力量无孔不入，并全盘控制个人的社会和政治生活的历史运动。这场运动相对于其他世俗化运动来说更为极端与强硬，因为人们经常毁坏或掠夺教会财产，并伴有流血事件发生;;;;;;;;;;;;x,,
Bureaucracy;官僚机构;;;;;;;;;;;;x,,,,,,,
Bureaucracy_desc;官僚主义的目的在于实现大大小小组织的功能（但在大多数情况下会与大型组织诸如政府、企业以及非政府组织合作），他们的任务在于决策如何使用最少资源实现最大收益;;;;;;;;;;;;x,,,
Nepotism;裙带关系;;;;;;;;;;;;x,,,,,,,
Nepotism_desc;裙带主义是无条件地对亲属及好友的偏袒。在政治中这样一人得道鸡犬升天的现象一直被人们所谴责;;;;;;;;;;;;x,,,,,,,
Aristocracy;特权阶级;;;;;;;;;;;;x,,,,,,,
Aristocracy_desc;贵族主义是指由一群有贵族资格的市民来统治的政府组织形式。这一制度最早在古希腊就有萌芽，当时议会是由知名人士来组成，与君主独揽大权的君主制正好相反;;;;;;;;;;;;x,,,,,,
Meritocracy;任人唯才;;;;;;;;;;;;x,,,,,,,
Meritocracy_desc;精英主义是一种由“有能力”的个体负责组织管理（比如工商管理）的制度，这种能力通常在评估和考试中能得到体现，比如智力、文凭、教育水平等;;;;;;;;;;;;x,,,
cinematographic_propaganda;电影宣传;;;;;;;;;;;;x,,,,,,,
cinematographic_propaganda_desc;宣传片伴随着电影院的出现而迅速传播开来，让政府能通过电影向大众传递信息;;;;;;;;;;;;x,,,,,,
standard_flintlock_rifle_armament;标准燧发步枪装备;;;;;;;;;;;;x,,,,,,,
standard_flintlock_rifle_armament_desc;要将燧发步枪升级为整个国家军队的标配需要很长一段时间，不过现在我军现已全部装备了燧发步枪;;;;;;;;;;;;x,,,,,,
initial_muzzle_loaded_rifle_armament;实验前膛装弹式来福枪;;;;;;;;;;;;x,,,,,,,
initial_muzzle_loaded_rifle_armament_desc;前膛装弹式来福枪已经开始在我们的军队中使用，这大大改善了他们的火力强度。它还没有，但即将成为标准装备。;;;;;;;;;;;;x,,,,
standard_muzzle_loaded_rifle_armament;标准前膛装弹式来福枪;;;;;;;;;;;;x,,,,,,,
standard_muzzle_loaded_rifle_armament_desc;要将前装线膛枪升级为整个国家军队的标配需要很长一段时间，不过现在我军现已全部装备了前装线膛枪;;;;;;;;;;;;x,,,,,,
initial_breech_loaded_rifle_armament;实验后膛装弹式来福枪;;;;;;;;;;;;x,,,,,,,
initial_breech_loaded_rifle_armament_desc;我们的军队已开始广泛使用膛装步枪，极大地增强了火力。不过目前这还没有成为标配;;;;;;;;;;;;x,,,,
standard_breech_loaded_rifle_armament;标准后膛装弹式来福枪;;;;;;;;;;;;x,,,,,,,
standard_breech_loaded_rifle_armament_desc;要将膛装步枪升级为整个国家军队的标配需要很长一段时间，不过现在我军现已全部装备了膛装步枪;;;;;;;;;;;;x,,,,,,
initial_bolt_action_rifle_armament;实验栓式枪机步枪;;;;;;;;;;;;x,,,,,,,
initial_bolt_action_rifle_armament_desc;我们的军队已开始广泛使用手动机枪，极大地增强了火力。不过目前这还没有成为标配;;;;;;;;;;;;x,,,,
standard_bolt_action_rifle_armament;标准栓式枪机步枪;;;;;;;;;;;;x,,,,,,,
standard_bolt_action_rifle_armament_desc;要将手动机枪升级为整个国家军队的标配需要很长一段时间，不过现在我军现已全部装备了手动机枪;;;;;;;;;;;;x,,,,,,
machine_gun_deployment;机枪装备;;;;;;;;;;;;x,,,,,,,
machine_gun_deployment_desc;机枪已经装备到我们所有的军队中，这显著地提升了他们的火力水平。;;;;;;;;;;;;x,,,,,,
carlism;卡洛斯主义;;;;;;;;;;;;x,,,,,,,
carlism_desc;卡洛斯运动是西班牙波旁王朝内部争夺王权自立王位的政治运动。卡洛斯亲王是莫利纳伯爵支系的后裔，这一派系在长久的继位纷争和与阿方索派系的不和中独立了出来;;;;;;;;;;;;x,,,,,
spirit_of_freedom;自由精神;;;;;;;;;;;;x,,,,,,,
spirit_of_freedom_desc;对某些文化来说，民主和自由的观念已深植于他们的灵魂中;;;;;;;;;;;;x,,,,,,
first_railroads;第一条铁路;;;;;;;;;;;;x,,,,,,,
first_railroads_desc;1825年后出现了蒸汽火车，极大地推动了工业革命;;;;;;;;;;;;x,,,,,,
industrial_railroads;工业铁路;;;;;;;;;;;;x,,,,,,,
industrial_railroads_desc;这些任务繁重的铁路主要用于运输工业产品进入城市中心。;;;;;;;;;;;;x,,,,,,,
the_iron_horse;“铁马”;;;;;;;;;;;;x,,,,,,,
the_iron_horse_desc;相比于缓慢而无力的马匹运输，早期的铁路和道理运输表现更好，火车的同义词“铁马”是用来赞颂它们的。“铁马”一词在乔治??史蒂芬森的“火箭”蒸汽机车赢得比赛，被记载于无数报纸和各类小说之后，更受到人们的好评，并被广泛使用;;;;;;;;;;;;x,,,,,,
commercial_railroads;商业铁路;;;;;;;;;;;;x,,,,,,,
commercial_railroads_desc;铁路运输技术的提升，比如普尔曼卧车的出现，使得铁路能够运送更大客流量的乘客;;;;;;;;;;;;x,,,,,
arteries_of_commerce;商业动脉;;;;;;;;;;;;x,,,,,,,
arteries_of_commerce_desc;十字型的铁路布局使得整个国家的经济命脉都掌握在铁路手中。工业和商业交通也都及时地融入铁路之中。在这些商业要道的建造中财富总是来来往往时隐时现;;;;;;;;;;;;x,,,,,,
autobahn;高速公路;;;;;;;;;;;;x,,,,,,,
autobahn_desc;无论是铁路还是公路运输，都已成为国家经济的一部分。乘客与货品以之前无法想象的速度来回穿梭，谁能想到不久以前从自己家乡外出不远的行程还觉得比较麻烦，而现在已是方便至极;;;;;;;;;;;;x,,,,
luxury_focus;促进奢侈品;;;;;;;;;;;;x,,,,,,,
luxury_focus_desc;我国的工业因为整天生产诸如皮靴、红酒、雪茄、毛衣等的奢饰品而止步不前了;;;;;;;;;;;;x,,,,,
necessity_focus;促进生活必需品;;;;;;;;;;;;x,,,,,,,
necessity_focus_desc;我国的工业因为更注重生产诸如家具、服饰、纸张、烈酒、木材等的必需品而止步不前了;;;;;;;;;;;;x,,,,
high_tech_focus;促进高科技产品;;;;;;;;;;;;x,,,,,,,
high_tech_focus_desc;我国的工业因为更注重生产诸如汽车、电话、收音机、电子设备等的高新产品而止步不前了;;;;;;;;;;;;x,,,,,
tuberculosis;结核病暴发;;;;;;;;;;;;x,,,,,,,
tuberculosis_desc;肺病席卷了整个州，传播着破坏性的病菌;;;;;;;;;;;;x,,,,,,
typhoid;伤寒暴发;;;;;;;;;;;;x,,,,,,,
typhoid_desc;伤寒是由被污染的水源所引起的，现在疾病在整个州都已爆发开来;;;;;;;;;;;;x,,,,,,
smallpox;天花爆发;;;;;;;;;;;;x,,,,,,,
smallpox_desc;天花正侵害着这个州的人民;;;;;;;;;;;;x,,,,,,,
cholera;霍乱暴发;;;;;;;;;;;;x,,,,,,,
cholera_desc;霍乱是由被污染的水源所引起的，现在疾病在整个州都已爆发开来;;;;;;;;;;;;x,,,,,,
economic_trend;经济走势;;;;;;;;;;;;x,,,,,,,
economic_trend_desc;我们国家的经济形势目前正处于变化之中。;;;;;;;;;;;;x,,,,,,,
famine;饥荒;;;;;;;;;;;;x,,,,,,,
famine_desc;这个省的民众正处在大规模饥荒之中。;;;;;;;;;;;;x,,,,,,,
ravaged_by_disease;饱受疾病之苦;;;;;;;;;;;;x,,,,,,,
ravaged_by_disease_desc;整个州目前都被疾病所笼罩。人们在拼命地拯救患者，防止疾病蔓延至别处;;;;;;;;;;;;x,,,,,,,
wool_cloth_factories;毛线厂;;;;;;;;;;;;x,,,,,,,
wool_cloth_factories_desc;毛纺织品再也不是手艺高超的工匠才能制成的奢侈品了。建立起的工厂可以以十倍的速度来生产！;;;;;;;;;;;;x,,,,,,,
luxury_clothes_factories;高档服装厂;;;;;;;;;;;;x,,,,,,,
luxury_clothes_factories_desc;由于服装厂高速的加工速率，个体工匠的工作都转移给工厂了;;;;;;;;;;;;x,,,,,,,
industrial_bakeries;工业化面包厂;;;;;;;;;;;;x,,,,,,,
industrial_bakeries_desc;再也不用在小型的家庭烘房里加工食品了。利用最新的设备和技术，面包店可以开张了;;;;;;;;;;;;x,,,,,,
shoe_factories;制鞋厂;;;;;;;;;;;;x,,,,,,,
shoe_factories_desc;运用最新的设备和技术，鞋类的制造工作从慢吞吞的鞋匠那儿转移到快速加工的工厂了;;;;;;;;;;;;x,,,,,,,
boot_factories;制靴厂;;;;;;;;;;;;x,,,,,,,
boot_factories_desc;运用最新的设备和技术，鞋类的制造工作从慢吞吞的鞋匠那儿转移到快速加工的工厂了;;;;;;;;;;;;x,,,,,,,
cement_factories;水泥厂;;;;;;;;;;;;x,,,,,,,
cement_factories_desc;水泥是所有建筑工程的基本材料。现在不用通过搅拌车运输来获得水泥了，大批量加工的工厂完全能够取而代之;;;;;;;;;;;;x,,,,,,
stock_exchanges;证券交易所;;;;;;;;;;;;x,,,,,,,
stock_exchanges_desc;股票，这一证明出资人股本权利的证券，它的发行使得国家工业都有赖于对这些公司的投资之上;;;;;;;;;;;;x,,,,,,,
merchant_banking;商业银行;;;;;;;;;;;;x,,,,,,,
merchant_banking_desc;银行业已成为一大行业，一个原因是国家工业建立于国内和国外的金融服务的基础之上;;;;;;;;;;;;x,,,,,,
sugar_refineries;糖厂;;;;;;;;;;;;x,,,,,,,
sugar_refineries_desc;精炼原糖已成为一项大产业，我们可以建造提炼厂进行生产;;;;;;;;;;;;x,,,,,,
lumber_mills;木材厂;;;;;;;;;;;;x,,,,,,,
lumber_mills_desc;木材业已成为一项产业，我们可以建造大型磨坊，来满足日益增长的建筑原材料的需求;;;;;;;;;;;;x,,,,,,
tropical_lumber_mills;热带木材厂;;;;;;;;;;;;x,,,,,,,
tropical_lumber_mills_desc;随着机械锯齿的出现，我们可以将难以收割的热带木材变为可用的木料了;;;;;;;;;;;;x,,,,,,
rubber_boot_factories;橡胶制靴厂;;;;;;;;;;;;x,,,,,,,
rubber_boot_factories_desc;你不会想到橡胶鞋有着很大的需求量，因此我们需要进行大量生产。现在是时候了;;;;;;;;;;;;x,,,,,,
fashion_houses;时装店;;;;;;;;;;;;x,,,,,,,
fashion_houses_desc;简答的制衣产业是远远不够的。现在新型的服装制造业必须满足从简朴到奢华的各种不同风格的需求;;;;;;;;;;;;x,,,,,,
beef_canneries;工业屠宰场;;;;;;;;;;;;x,,,,,,,
beef_canneries_desc;现在我们可以建造能承担大量屠宰工作的工业化屠宰场了;;;;;;;;;;;;x,,,,,,,
cigarette_making_machines;卷烟厂;;;;;;;;;;;;x,,,,,,,
cigarette_making_machines_desc;我们再也不用手工制造香烟了。可以使用机器加速生产，从而获取更多利润;;;;;;;;;;;;x,,,,,,
cigar_factories;雪茄厂;;;;;;;;;;;;x,,,,,,,
cigar_factories_desc;我们再也不用手工制造雪茄了。可以使用机器加速生产，从而获取更多利润;;;;;;;;;;;;x,,,,,,
modernist_furnishing;现代主义家具;;;;;;;;;;;;x,,,,,,,
modernist_furnishing_desc;我们已有能力建造一家工厂来生产复杂的现代化的家具，从而迎合市场的需要;;;;;;;;;;;;x,,,,,,
textile_mills;纺织厂;;;;;;;;;;;;x,,,,,,,
textile_mills_desc;新建立起的工厂能够大量生产棉纺织品，这是迎合大众广泛需求的关键所在;;;;;;;;;;;;x,,,,,,,
mass_produced_clothing;大规模服装生产;;;;;;;;;;;;x,,,,,,,
mass_produced_clothing_desc;制衣技术的改进让我们能够生产出更多的服饰。这再也不是少数裁缝的专利了;;;;;;;;;;;;x,,,,,,,
steelworks;炼钢厂;;;;;;;;;;;;x,,,,,,,
steelworks_desc;对一个国家来说，要实现真正的工业化，其最昂贵也最重要的设施便是一座能够大量生产优质钢材的精炼厂;;;;;;;;;;;;x,,,,,,,
fertilizer_plants;化肥厂;;;;;;;;;;;;x,,,,,,,
fertilizer_plants_desc;我们已有能力建造一家化学提炼厂来大量生产肥料;;;;;;;;;;;;x,,,,,,,
clipper_shipyards;帆船厂;;;;;;;;;;;;x,,,,,,,
clipper_shipyards_desc;建造起一家能够生产快帆船的造船厂已不再是梦想了;;;;;;;;;;;;x,,,,,,,
steamer_shipyards;轮船厂;;;;;;;;;;;;x,,,,,,,
steamer_shipyards_desc;建造起一家能够生产蒸汽船的造船厂已不再是梦想了;;;;;;;;;;;;x,,,,,,,
newspapers;报纸;;;;;;;;;;;;x,,,,,,,
newspapers_desc;我国的识字率的提升使得对文字形式的新闻需求量加大了，创建能够满足这种需求的公司越来越重要了。;;;;;;;;;;;;x,,,,,,,
moveable_type;活字印刷;;;;;;;;;;;;x,,,,,,,
moveable_type_desc;印刷技术的发展使得我们发明了轮转印刷术以及其他方法，这一切都是为了能够尽快生产出印刷材料来;;;;;;;;;;;;x,,,,,,
penny_press;一便士新闻;;;;;;;;;;;;x,,,,,,,
penny_press_desc;印刷技术的提高催生了这种“一便士新闻”：廉价的报纸被大量生产，唯一的目的就是尽可能扩大读者群。;;;;;;;;;;;;x,,,,,,
sunday_schools;主日学校;;;;;;;;;;;;x,,,,,,,
sunday_schools_desc;在教育中融入宗教传播，例如教堂组织的灌输宗教信仰的“星期天学校”活动，提升了国家早期教育的效率;;;;;;;;;;;;x,,,,,
infant_schools;托儿所;;;;;;;;;;;;x,,,,,,,
infant_schools_desc;学前教育的出现，让低龄的孩子能够就近受到教育，提升了早期教育的效率;;;;;;;;;;;;x,,,,,
state_education;国家教育部;;;;;;;;;;;;x,,,,,,,
state_education_desc;不少公立教育机构涌现出来，不但提升了教育水平，也使得下一代公民更为忠实;;;;;;;;;;;;x,,,,,,
curriculum;课程设置;;;;;;;;;;;;x,,,,,,,
curriculum_desc;到目前为止，全国各地学校教授知识的水准是不尽相同的。他们更聚焦于当地话题，在注重教育水平的同时也注重知识面的宽度。标准课程的引入则会保证所有学生的受教育程度处于同一水平;;;;;;;;;;;;x,,,,,
grammar_schools;文法学校;;;;;;;;;;;;x,,,,,,,
grammar_schools_desc;早期学校是来教授拉丁语的，后来逐渐地也传授一些古希腊语，英语，以及诸如数学和几何等的其他学科;;;;;;;;;;;;x,,,,
